fl_date,mkt_unique_carrier,branded_code_share,mkt_carrier,mkt_carrier_fl_num,op_unique_carrier,tail_num,op_carrier_fl_num,origin_airport_id,origin,origin_city_name,dest_airport_id,dest,dest_city_name,crs_dep_time,dep_time,dep_delay,taxi_out,wheels_off,wheels_on,taxi_in,crs_arr_time,arr_time,arr_delay,cancelled,cancellation_code,diverted,dup,crs_elapsed_time,actual_elapsed_time,air_time,flights,distance,carrier_delay,weather_delay,nas_delay,security_delay,late_aircraft_delay,first_dep_time,total_add_gtime,longest_add_gtime,no_name
2019-01-08,WN,WN,WN,794,WN,N8673F,794,10821,BWI,"Baltimore, MD",10721,BOS,"Boston, MA",1155,1149,-6,9,1158,1259,5,1330,1304,-26,0,,0,N,95,75,61,1,369,,,,,,,,,
2019-01-08,WN,WN,WN,1262,WN,N8699A,1262,10821,BWI,"Baltimore, MD",10721,BOS,"Boston, MA",955,953,-2,10,1003,1110,8,1125,1118,-7,0,,0,N,90,85,67,1,369,,,,,,,,,
2019-01-08,WN,WN,WN,1441,WN,N554WN,1441,10821,BWI,"Baltimore, MD",10721,BOS,"Boston, MA",1910,2053,103,8,2101,2159,5,2035,2204,89,0,,0,N,85,71,58,1,369,89,0,0,0,0,,,,
2019-01-08,WN,WN,WN,2269,WN,N746SW,2269,10821,BWI,"Baltimore, MD",10721,BOS,"Boston, MA",1700,1856,116,10,1906,2006,8,1830,2014,104,0,,0,N,90,78,60,1,369,104,0,0,0,0,,,,
2019-01-08,WN,WN,WN,6399,WN,N8678E,6399,10821,BWI,"Baltimore, MD",10721,BOS,"Boston, MA",2140,2133,-7,13,2146,2252,6,2315,2258,-17,0,,0,N,95,85,66,1,369,,,,,,,,,
2019-01-08,WN,WN,WN,207,WN,N7819A,207,10821,BWI,"Baltimore, MD",10792,BUF,"Buffalo, NY",1640,1635,-5,9,1644,1733,3,1755,1736,-19,0,,0,N,75,61,49,1,281,,,,,,,,,
2019-01-08,WN,WN,WN,287,WN,N7825A,287,10821,BWI,"Baltimore, MD",10792,BUF,"Buffalo, NY",2155,2152,-3,8,2200,2250,4,2305,2254,-11,0,,0,N,70,62,50,1,281,,,,,,,,,
2019-01-08,WN,WN,WN,456,WN,N952WN,456,10821,BWI,"Baltimore, MD",10792,BUF,"Buffalo, NY",1850,2043,113,12,2055,2149,3,1955,2152,117,0,,0,N,65,69,54,1,281,113,0,4,0,0,,,,
2019-01-08,WN,WN,WN,1033,WN,N7856A,1033,10821,BWI,"Baltimore, MD",10792,BUF,"Buffalo, NY",1115,1109,-6,8,1117,1207,2,1225,1209,-16,0,,0,N,70,60,50,1,281,,,,,,,,,
2019-01-08,WN,WN,WN,36,WN,N485WN,36,10821,BWI,"Baltimore, MD",10994,CHS,"Charleston, SC",1005,957,-8,13,1010,1120,4,1145,1124,-21,0,,0,N,100,87,70,1,472,,,,,,,,,
2019-01-08,WN,WN,WN,697,WN,N8539V,697,10821,BWI,"Baltimore, MD",10994,CHS,"Charleston, SC",1345,1340,-5,10,1350,1506,4,1530,1510,-20,0,,0,N,105,90,76,1,472,,,,,,,,,
2019-01-08,WN,WN,WN,1760,WN,N791SW,1760,10821,BWI,"Baltimore, MD",10994,CHS,"Charleston, SC",1855,1854,-1,16,1910,2026,4,2030,2030,0,0,,0,N,95,96,76,1,472,,,,,,,,,
2019-01-08,WN,WN,WN,548,WN,N485WN,548,10821,BWI,"Baltimore, MD",11042,CLE,"Cleveland, OH",2145,2159,14,20,2219,2319,5,2305,2324,19,0,,0,N,80,85,60,1,314,14,0,5,0,0,,,,
2019-01-08,WN,WN,WN,704,WN,N209WN,704,10821,BWI,"Baltimore, MD",11042,CLE,"Cleveland, OH",1725,1727,2,8,1735,1832,6,1840,1838,-2,0,,0,N,75,71,57,1,314,,,,,,,,,
2019-01-08,WN,WN,WN,2054,WN,N7739A,2054,10821,BWI,"Baltimore, MD",11042,CLE,"Cleveland, OH",1205,1159,-6,9,1208,1306,5,1325,1311,-14,0,,0,N,80,72,58,1,314,,,,,,,,,
2019-01-08,WN,WN,WN,740,WN,N455WN,740,10821,BWI,"Baltimore, MD",11057,CLT,"Charlotte, NC",1350,1348,-2,14,1402,1506,11,1520,1517,-3,0,,0,N,90,89,64,1,361,,,,,,,,,
2019-01-08,WN,WN,WN,444,WN,N421LV,444,10821,BWI,"Baltimore, MD",13232,MDW,"Chicago, IL",1820,1813,-7,10,1823,1904,6,1930,1910,-20,0,,0,N,130,117,101,1,611,,,,,,,,,
2019-01-08,WN,WN,WN,779,WN,N7831B,779,10821,BWI,"Baltimore, MD",13232,MDW,"Chicago, IL",1345,1339,-6,8,1347,1431,4,1455,1435,-20,0,,0,N,130,116,104,1,611,,,,,,,,,
2019-01-08,WN,WN,WN,1679,WN,N949WN,1679,10821,BWI,"Baltimore, MD",13232,MDW,"Chicago, IL",1030,1028,-2,16,1044,1133,7,1130,1140,10,0,,0,N,120,132,109,1,611,,,,,,,,,
2019-01-08,WN,WN,WN,2096,WN,N784SW,2096,10821,BWI,"Baltimore, MD",13232,MDW,"Chicago, IL",1600,1552,-8,11,1603,1650,4,1710,1654,-16,0,,0,N,130,122,107,1,611,,,,,,,,,
2019-01-08,WN,WN,WN,2245,WN,N7884G,2245,10821,BWI,"Baltimore, MD",13232,MDW,"Chicago, IL",820,819,-1,11,830,921,5,935,926,-9,0,,0,N,135,127,111,1,611,,,,,,,,,
2019-01-08,WN,WN,WN,2279,WN,N7886A,2279,10821,BWI,"Baltimore, MD",13244,MEM,"Memphis, TN",830,1021,111,13,1034,1144,5,1010,1149,99,0,,0,N,160,148,130,1,787,99,0,0,0,0,,,,
2019-01-08,WN,WN,WN,466,WN,N962WN,466,10821,BWI,"Baltimore, MD",13296,MHT,"Manchester, NH",2020,2016,-4,9,2025,2157,4,2145,2201,16,0,,0,N,85,105,92,1,377,0,0,16,0,0,,,,
2019-01-08,WN,WN,WN,963,WN,N8512U,963,10821,BWI,"Baltimore, MD",13296,MHT,"Manchester, NH",2230,52,142,9,101,157,4,2345,201,136,0,,0,N,75,69,56,1,377,50,0,0,0,86,,,,
2019-01-08,WN,WN,WN,1197,WN,N965WN,1197,10821,BWI,"Baltimore, MD",13296,MHT,"Manchester, NH",1620,1615,-5,15,1630,1727,2,1740,1729,-11,0,,0,N,80,74,57,1,377,,,,,,,,,
2019-01-08,WN,WN,WN,1675,WN,N440LV,1675,10821,BWI,"Baltimore, MD",13296,MHT,"Manchester, NH",815,809,-6,13,822,918,4,940,922,-18,0,,0,N,85,73,56,1,377,,,,,,,,,
2019-01-08,WN,WN,WN,1932,WN,N209WN,1932,10821,BWI,"Baltimore, MD",13296,MHT,"Manchester, NH",1240,1234,-6,9,1243,1342,3,1400,1345,-15,0,,0,N,80,71,59,1,377,,,,,,,,,
2019-01-08,WN,WN,WN,473,WN,N965WN,473,10821,BWI,"Baltimore, MD",13342,MKE,"Milwaukee, WI",2035,2040,5,8,2048,2126,5,2145,2131,-14,0,,0,N,130,111,98,1,641,,,,,,,,,
2019-01-08,WN,WN,WN,1971,WN,N202WN,1971,10821,BWI,"Baltimore, MD",13342,MKE,"Milwaukee, WI",945,941,-4,11,952,1035,2,1055,1037,-18,0,,0,N,130,116,103,1,641,,,,,,,,,
2019-01-08,WN,WN,WN,310,WN,N478WN,310,10821,BWI,"Baltimore, MD",13487,MSP,"Minneapolis, MN",935,931,-4,16,947,1111,5,1125,1116,-9,0,,0,N,170,165,144,1,936,,,,,,,,,
2019-01-08,WN,WN,WN,2187,WN,N8635F,2187,10821,BWI,"Baltimore, MD",13487,MSP,"Minneapolis, MN",2020,2020,0,11,2031,2147,3,2205,2150,-15,0,,0,N,165,150,136,1,936,,,,,,,,,
2019-01-08,WN,WN,WN,1516,WN,N8706W,1516,10821,BWI,"Baltimore, MD",13495,MSY,"New Orleans, LA",1915,1912,-3,14,1926,2054,3,2110,2057,-13,0,,0,N,175,165,148,1,998,,,,,,,,,
2019-01-08,WN,WN,WN,2186,WN,N713SW,2186,10821,BWI,"Baltimore, MD",13495,MSY,"New Orleans, LA",835,831,-4,9,840,1004,17,1040,1021,-19,0,,0,N,185,170,144,1,998,,,,,,,,,
2019-01-08,WN,WN,WN,236,WN,N7812G,236,10821,BWI,"Baltimore, MD",13796,OAK,"Oakland, CA",1350,1403,13,19,1422,1731,5,1720,1736,16,0,,0,N,390,393,369,1,2447,13,0,3,0,0,,,,
2019-01-08,WN,WN,WN,1194,WN,N784SW,1194,10821,BWI,"Baltimore, MD",13851,OKC,"Oklahoma City, OK",830,831,1,12,843,1054,3,1100,1057,-3,0,,0,N,210,206,191,1,1180,,,,,,,,,
2019-01-08,WN,WN,WN,887,WN,N761RR,887,10821,BWI,"Baltimore, MD",13931,ORF,"Norfolk, VA",1440,1445,5,15,1500,1532,3,1535,1535,0,0,,0,N,55,50,32,1,159,,,,,,,,,
2019-01-08,WN,WN,WN,1151,WN,N8314L,1151,10821,BWI,"Baltimore, MD",13931,ORF,"Norfolk, VA",1905,1901,-4,11,1912,1944,4,2005,1948,-17,0,,0,N,60,47,32,1,159,,,,,,,,,
2019-01-08,WN,WN,WN,1488,WN,N7833A,1488,10821,BWI,"Baltimore, MD",13931,ORF,"Norfolk, VA",900,852,-8,13,905,939,3,1000,942,-18,0,,0,N,60,50,34,1,159,,,,,,,,,
2019-01-08,WN,WN,WN,2128,WN,N7866A,2128,10821,BWI,"Baltimore, MD",13931,ORF,"Norfolk, VA",2145,2138,-7,11,2149,2220,3,2240,2223,-17,0,,0,N,55,45,31,1,159,,,,,,,,,
2019-01-08,WN,WN,WN,252,WN,N8677A,252,10821,BWI,"Baltimore, MD",14027,PBI,"West Palm Beach/Palm Beach, FL",1335,1331,-4,11,1342,1551,3,1610,1554,-16,0,,0,N,155,143,129,1,883,,,,,,,,,
2019-01-08,WN,WN,WN,712,WN,N293WN,712,10821,BWI,"Baltimore, MD",14027,PBI,"West Palm Beach/Palm Beach, FL",1535,1532,-3,9,1541,1747,4,1810,1751,-19,0,,0,N,155,139,126,1,883,,,,,,,,,
2019-01-08,WN,WN,WN,823,WN,N7722B,823,10821,BWI,"Baltimore, MD",14027,PBI,"West Palm Beach/Palm Beach, FL",1915,2057,102,11,2108,2311,3,2140,2314,94,0,,0,N,145,137,123,1,883,94,0,0,0,0,,,,
2019-01-08,WN,WN,WN,1041,WN,N929WN,1041,10821,BWI,"Baltimore, MD",14027,PBI,"West Palm Beach/Palm Beach, FL",850,948,58,7,955,1212,3,1135,1215,40,0,,0,N,165,147,137,1,883,40,0,0,0,0,,,,
2019-01-08,WN,WN,WN,1048,WN,N8620H,1048,10821,BWI,"Baltimore, MD",14107,PHX,"Phoenix, AZ",635,630,-5,12,642,938,5,950,943,-7,0,,0,N,315,313,296,1,1999,,,,,,,,,
2019-01-08,WN,WN,WN,3991,WN,N942WN,3991,10821,BWI,"Baltimore, MD",14107,PHX,"Phoenix, AZ",1240,1247,7,9,1256,1558,8,1605,1606,1,0,,0,N,325,319,302,1,1999,,,,,,,,,
2019-01-08,WN,WN,WN,292,WN,N413WN,292,10821,BWI,"Baltimore, MD",14122,PIT,"Pittsburgh, PA",925,923,-2,9,932,1011,4,1025,1015,-10,0,,0,N,60,52,39,1,210,,,,,,,,,
2019-01-08,WN,WN,WN,1563,WN,N551WN,1563,10821,BWI,"Baltimore, MD",14122,PIT,"Pittsburgh, PA",1655,1650,-5,9,1659,1738,7,1800,1745,-15,0,,0,N,65,55,39,1,210,,,,,,,,,
2019-01-08,WN,WN,WN,2288,WN,N7853B,2288,10821,BWI,"Baltimore, MD",14122,PIT,"Pittsburgh, PA",2205,2206,1,11,2217,2300,3,2310,2303,-7,0,,0,N,65,57,43,1,210,,,,,,,,,
2019-01-08,WN,WN,WN,539,WN,N414WN,539,10821,BWI,"Baltimore, MD",14307,PVD,"Providence, RI",640,640,0,11,651,745,5,800,750,-10,0,,0,N,80,70,54,1,327,,,,,,,,,
2019-01-08,WN,WN,WN,1973,WN,N707SA,1973,10821,BWI,"Baltimore, MD",14307,PVD,"Providence, RI",1620,1613,-7,19,1632,1724,7,1740,1731,-9,0,,0,N,80,78,52,1,327,,,,,,,,,
2019-01-08,WN,WN,WN,2104,WN,N8682B,2104,10821,BWI,"Baltimore, MD",14307,PVD,"Providence, RI",1115,1113,-2,11,1124,1218,5,1225,1223,-2,0,,0,N,70,70,54,1,327,,,,,,,,,
2019-01-08,WN,WN,WN,4330,WN,N743SW,4330,10821,BWI,"Baltimore, MD",14307,PVD,"Providence, RI",2210,2214,4,18,2232,2314,5,2330,2319,-11,0,,0,N,80,65,42,1,327,,,,,,,,,
2019-01-08,WN,WN,WN,347,WN,N8557Q,347,10821,BWI,"Baltimore, MD",14321,PWM,"Portland, ME",2150,2205,15,16,2221,2321,5,2320,2326,6,0,,0,N,90,81,60,1,452,,,,,,,,,
2019-01-08,WN,WN,WN,1434,WN,N798SW,1434,10821,BWI,"Baltimore, MD",14321,PWM,"Portland, ME",1415,1426,11,11,1437,1538,5,1545,1543,-2,0,,0,N,90,77,61,1,452,,,,,,,,,
2019-01-08,WN,WN,WN,1961,WN,N795SW,1961,10821,BWI,"Baltimore, MD",14321,PWM,"Portland, ME",855,847,-8,12,859,1000,4,1020,1004,-16,0,,0,N,85,77,61,1,452,,,,,,,,,
2019-01-08,WN,WN,WN,299,WN,N901WN,299,10821,BWI,"Baltimore, MD",14492,RDU,"Raleigh/Durham, NC",1230,1251,21,13,1304,1355,2,1345,1357,12,0,,0,N,75,66,51,1,255,,,,,,,,,
2019-01-08,WN,WN,WN,497,WN,N460WN,497,10821,BWI,"Baltimore, MD",14492,RDU,"Raleigh/Durham, NC",1900,1859,-1,9,1908,1954,3,2010,1957,-13,0,,0,N,70,58,46,1,255,,,,,,,,,
2019-01-08,WN,WN,WN,551,WN,N8324A,551,10821,BWI,"Baltimore, MD",14492,RDU,"Raleigh/Durham, NC",2150,2151,1,11,2202,2250,3,2300,2253,-7,0,,0,N,70,62,48,1,255,,,,,,,,,
